,author,content,description,publishedAt,source,title,url,urlToImage
724,Dan,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Chase previously sent out offers to upgrade from the old Chase Marriott card to the new Chase Marriott Rewards Premier Plus Credit Card. Those upgrade offers ranged from 0 points to 50,000 points. You can check your upgrade offer here. Several DDF members are…",2018-10-31T20:27:44Z,"{'id': None, 'name': 'Dansdeals.com'}",Match Your Chase Marriott Card Upgrade Offer To 50K Points!,https://www.dansdeals.com/points-travel/marriott/match-chase-marriott-card-upgrade-offer-50k-points/,https://i.dansdeals.com/wp-content/uploads/2018/05/03160700/Card_shadowD.png
725,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",Radio Flyer My 1st Scooter For $24.42 From Amazon This was selling for $34.99 yesterday and is now the lowest price ever from Amazon. Designed for beginner riders developing balance and coordination. Wide base for better balance. Specially designed turning ra…,2018-10-31T15:04:50Z,"{'id': None, 'name': 'Dansdeals.com'}",Radio Flyer My 1st Scooter For $24.42 From Amazon,https://www.dansdeals.com/shopping-deals/amazon/radio-flyer-1st-scooter-24-42-amazon/,https://i.dansdeals.com/wp-content/uploads/2018/10/31110454/radio-flyer-my-1st-scooter-1.jpg
726,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",Update : This is now $22.79.,2018-10-31T14:13:11Z,"{'id': None, 'name': 'Dansdeals.com'}",27 Boxes Of Kleenex Facial Tissues Featuring Pixar’s Cars 3 Design For Just $17 From Amazon!,https://www.dansdeals.com/shopping-deals/amazon/27-boxes-kleenex-facial-tissues-featuring-pixars-cars-3-design-just-17-amazon/,https://i.dansdeals.com/wp-content/uploads/2018/10/31100910/kleenex-trusted-care-facial-tissues-featuring-disney-pixars-cars-3-1.jpg
727,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",Echo Dot 3rd Gen And 4 Tile Mates For $59.99 Shipped From Amazon After $50 Price Drop This was selling for $109.98 earlier this week and is now the lowest price ever from Amazon. This bundle contains the Echo Dot (3rd Gen) and Tile Mate with Replaceable Batte…,2018-11-01T17:31:54Z,"{'id': None, 'name': 'Dansdeals.com'}",Echo Dot 3rd Gen And 4 Tile Mates For $59.99 Shipped From Amazon After $50 Price Drop,https://www.dansdeals.com/shopping-deals/amazon/echo-dot-3rd-gen-4-tile-mates-59-99-shipped-amazon-50-price-drop/,https://i.dansdeals.com/wp-content/uploads/2018/11/01133115/echo-dot-3rd-gen-charcoal-fabric-bundle-with-tile-mate-with-replaceable-1.jpg
728,Dan,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",Get A Free Roll Of T-REX Ferociously Strong Duct Tape -T-REX Ferociously Strong Duct Tape has 4.4 stars on Amazon. Just fill out the information below and your free roll of T-Rex Tape will be on its way. Hurry! Offer only valid while supplies last. Please all…,2018-11-01T03:16:04Z,"{'id': None, 'name': 'Dansdeals.com'}",Get A Free Roll Of T-REX Ferociously Strong Duct Tape,https://www.dansdeals.com/more/free-stuff/get-free-roll-t-rex-ferociously-strong-duct-tape/,https://i.dansdeals.com/wp-content/uploads/2018/10/31231353/718-ImtpdhL._SL1200_.jpg
729,Dan,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",Check To See If You’re Targeted For A $5 Amazon Credit For Sending A $50 Gift Card Via SMS Click on the link above and then click on the button that says “Click to add the code to your account” to activate a $5 promo credit for sending a $50 gift card via SMS…,2018-11-01T20:11:57Z,"{'id': None, 'name': 'Dansdeals.com'}",Check To See If You’re Targeted For A $5 Amazon Credit For Sending A $50 Gift Card Via SMS,https://www.dansdeals.com/shopping-deals/amazon/check-see-youre-targeted-5-amazon-credit-sending-50-gift-card-via-sms/,https://i.dansdeals.com/wp-content/uploads/2017/07/20162307/Amazon.com-Logo.svg_-e1501015706678.png
730,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","CRC White Lithium Grease Aerosol Can For $3.74 From Amazon This is the lowest price for this product in the past two years from Amazon and it has great 4.5 star ratings.     Easy application, ideal for hard-to-reach areas Temperature range: effective from -18…",2018-10-29T12:35:04Z,"{'id': None, 'name': 'Dansdeals.com'}",CRC White Lithium Grease Aerosol Can For $3.74 From Amazon,https://www.dansdeals.com/shopping-deals/amazon/crc-white-lithium-grease-aerosol-can-3-74-amazon/,https://i.dansdeals.com/wp-content/uploads/2018/10/29083457/crc-5037-white-lithium-grease-10-wt-oz-1.jpg
731,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",4 Pack Of Sonifresh Replacement Toothbrush Heads For Philips Sonicare E-Series For $8.83 From Amazon After $8 Off Code Use code: ZETQHJ9V Disclaimer:These toothbrush heads are manufactured independently by Sonifresh.Blue indicator bristles fade halfway so you…,2018-10-30T13:53:22Z,"{'id': None, 'name': 'Dansdeals.com'}",4 Pack Of Sonifresh Replacement Toothbrush Heads For Philips Sonicare E-Series For $8.83 From Amazon After $8 Off Code,https://www.dansdeals.com/shopping-deals/amazon/4-pack-sonifresh-replacement-toothbrush-heads-philips-sonicare-e-series-8-83-amazon-8-off-code/,https://i.dansdeals.com/wp-content/uploads/2018/10/30095102/sonifresh-replacement-heads-toothbrush-heads-for-philips-sonicare-e-series-1.jpg
732,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Today Only: Save On KidKraft Kitchens, Swing Sets, Castles, And More From Amazon Sale valid until 11:59pm PST or while supplies last. Sample deals: Kitchens: Little Cook’s Work Station Kitchen: $74.38 Ultimate Elite Play Kitchen with Ez Kraft Assembly: $158.9…",2018-10-30T12:05:23Z,"{'id': None, 'name': 'Dansdeals.com'}","Today Only: Save On KidKraft Kitchens, Swing Sets, Castles, And More From Amazon",https://www.dansdeals.com/shopping-deals/amazon/today-save-kidkraft-kitchens-swing-sets-castles-amazon/,https://i.dansdeals.com/wp-content/uploads/2018/10/30080526/ultimate-elite-play-kitchen-with-ez-kraft-assembly-1.jpg
733,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Annke Wireless Video Baby Camera With 2.4″ Color LCD Screen Controller Unit For $20 Shipped From Amazon After $30 Off Code Use code: 6Y85WBXM The wireless baby monitor uses a lower RF than normal router to provide safer environment for toddlers, and its speci…",2018-10-30T19:51:17Z,"{'id': None, 'name': 'Dansdeals.com'}",Annke Wireless Video Baby Camera With 2.4″ Color LCD Screen Controller Unit For $20 Shipped From Amazon After $30 Off Code,https://www.dansdeals.com/shopping-deals/amazon/annke-wireless-video-baby-camera-2-4-color-lcd-screen-controller-unit-20-shipped-amazon-30-off-code/,https://i.dansdeals.com/wp-content/uploads/2018/10/30155026/annke-premium-wireless-compact-video-baby-monitor-with-24-color-lcd-screen-1.jpg
734,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Pre-Order: Instant Pot Smart WiFi 6 Quart Electric Pressure Cooker For $100.96 Shipped From Amazon After $49 Discount This will be selling for $149.95, but you can now pre-order it for just $100.96 and it will ship when the product is released. Smart Wi-Fi mu…",2018-11-04T00:45:59Z,"{'id': None, 'name': 'Dansdeals.com'}",Pre-Order: Instant Pot Smart WiFi 6 Quart Electric Pressure Cooker For $100.96 Shipped From Amazon After $49 Discount,https://www.dansdeals.com/shopping-deals/amazon/pre-order-instant-pot-smart-wifi-6-quart-electric-pressure-cooker-100-96-shipped-amazon-49-discount/,https://i.dansdeals.com/wp-content/uploads/2018/11/03204206/instant-pot-smart-wifi-6-quart-electric-pressure-cooker-silver-1.jpg
735,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Hamilton Beach Toaster Oven For $22.99 From Amazon This was selling for $34 yesterday and is now the lowest price ever from Amazon. Easy Access to Food Easy Access to Countertop Easy to keep clean – food can’t spill on door Bake, broil and toast settings. Fit…",2018-11-02T17:14:34Z,"{'id': None, 'name': 'Dansdeals.com'}",Hamilton Beach Toaster Oven For $22.99 From Amazon,https://www.dansdeals.com/shopping-deals/amazon/hamilton-beach-toaster-oven-22-99-amazon/,https://i.dansdeals.com/wp-content/uploads/2018/11/02131437/hamilton-beach-31334-toaster-oven-pizza-maker-electric-gray-1.jpg
736,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",Click here to view all of eBay’s daily deals. Enroll in eBay Bucks and get 1% back (or more via targeted offers) on your eBay purchases. Hoover WindTunnel 2 High Capacity Bagless Vacuum Cleaner For $41.59 Shipped Via eBay Daily Deals 20% will automatically be…,2018-11-02T18:02:43Z,"{'id': None, 'name': 'Dansdeals.com'}",Hoover WindTunnel 2 High Capacity Bagless Vacuum Cleaner For $41.59 Shipped Via eBay Daily Deals,https://www.dansdeals.com/shopping-deals/ebay-deals/hoover-windtunnel-2-high-capacity-bagless-vacuum-cleaner-41-59-shipped-via-ebay-daily-deals/,https://i.dansdeals.com/wp-content/uploads/2018/11/02135310/s-l640.jpg
737,Dan,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",Shark Navigator Upright Vacuum For Carpet And Hard Floor For $99.99 Shipped From Amazon After $42 Price Drop! This was selling for $141.99 yesterday and is now the lowest price ever from Amazon. Lift-Away. Press a button to lift the canister away and easily c…,2018-11-02T19:04:04Z,"{'id': None, 'name': 'Dansdeals.com'}",Shark Navigator Upright Vacuum For Carpet And Hard Floor For $99.99 Shipped From Amazon After $42 Price Drop!,https://www.dansdeals.com/shopping-deals/amazon/shark-navigator-upright-vacuum-carpet-hard-floor-99-99-shipped-amazon-42-price-drop/,https://i.dansdeals.com/wp-content/uploads/2018/11/02150408/shark-navigator-upright-vacuum-for-carpet-and-hard-floor-with-lift-away-hand-1.jpg
738,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Today Only: KitchenAid Professional 6-Qt. Bowl-Lift Stand Mixer For $209 Shipped From Amazon This was selling for $280.74 yesterday and is now the lowest listed price ever from Amazon. The power hub turns your stand mixer into a culinary center, with more tha…",2018-11-02T11:39:10Z,"{'id': None, 'name': 'Dansdeals.com'}",Today Only: KitchenAid Professional 6-Qt. Bowl-Lift Stand Mixer For $209 Shipped From Amazon,https://www.dansdeals.com/shopping-deals/amazon/today-kitchenaid-professional-6-qt-bowl-lift-stand-mixer-209-shipped-amazon/,https://i.dansdeals.com/wp-content/uploads/2018/11/02073913/kitchenaid-kl26m1xer-professional-6-qt-bowl-lift-stand-mixer-empire-red.jpg
739,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Update : The medium-weight sets are now dead, but you can still get 500 of the light-weight sets for $8.30 !",2018-11-01T22:55:40Z,"{'id': None, 'name': 'Dansdeals.com'}","500 Packs Of AmazonBasics Fork, Knife, And Spoon Medium Weight Plastic Cutlery Sets For Just $8.47 From Amazon After $24 Price Drop!",https://www.dansdeals.com/shopping-deals/amazon/500-packs-amazonbasics-fork-knife-spoon-medium-weight-plastic-cutlery-sets-just-8-47-amazon-24-price-drop/,https://i.dansdeals.com/wp-content/uploads/2018/11/01184819/amazonbasics-medium-weight-plastic-cutlery-kits-white-500-pack-1.jpg
740,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Blendtec Classic Professional-Grade 575 Blender With 90oz Jar And Spatula Bundle For $230.01 From Amazon After $190 Price Drop! This was selling for $419.95 before the price started to drop 2 weeks ago, $298.20 yesterday, and is now the lowest price ever from…",2018-11-01T15:51:12Z,"{'id': None, 'name': 'Dansdeals.com'}",Blendtec Classic Professional-Grade 575 Blender With 90oz Jar And Spatula Bundle For $230.01 From Amazon After $190 Price Drop!,https://www.dansdeals.com/shopping-deals/amazon/blendtec-classic-professional-grade-575-blender-90oz-jar-spatula-bundle-230-01-amazon-190-price-drop/,https://i.dansdeals.com/wp-content/uploads/2018/11/01115116/blendtec-classic-575-blender-wtih-wildside-jar-90-oz-and-spoonula-spatula-1.jpg
741,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",T-fal OptiGrill Electric Indoor Grill For Just $59.99 Shipped From Woot! This sells for $125.68 from Amazon. Prime Members receive free shipping on Woot. First electric indoor grill that cooks by adapting its grilling cycles to the thickness of the foods 6 au…,2018-11-01T17:39:09Z,"{'id': None, 'name': 'Dansdeals.com'}",T-fal OptiGrill Electric Indoor Grill For Just $59.99 Shipped From Woot!,https://www.dansdeals.com/shopping-deals/amazon/t-fal-optigrill-electric-indoor-grill-just-59-99-shipped-woot/,https://i.dansdeals.com/wp-content/uploads/2018/11/01133555/t-fal-optigrill-electric-grill-indoor-grill-removable-nonstick-plates-silver-1.jpg
742,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Please note: This is a stickied sponsored post, please scroll down for new posts. HURRY – Limited number of slots available – Filling up fast! Packages starting at ONLY $50! Learn how to make your very own wine and have it in time for this Purim and Pesach! T…",2018-11-02T00:54:09Z,"{'id': None, 'name': 'Dansdeals.com'}",Learn Winemaking At BenIsh Winery With Hands On Experience From An Award Winning Winemaker!,https://www.dansdeals.com/advertisement/learn-winemaking-benish-winery-hands-experience-award-winning-winemaker/,https://i.dansdeals.com/wp-content/uploads/2018/11/01193330/14.jpg
743,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",Rain-X 19″ Weatherbeater Wiper Blade For $3.50 Shipped Via Amazon Subscribe And Save This was selling for $8.89 before the price dropped and is now the lowest price ever from Amazon. -You will automatically receive 15% off this item when you use subscribe & s…,2018-11-04T14:03:30Z,"{'id': None, 'name': 'Dansdeals.com'}",Rain-X 19″ Weatherbeater Wiper Blade For $3.50 Shipped Via Amazon Subscribe And Save,https://www.dansdeals.com/shopping-deals/amazon/rain-x-19-weatherbeater-wiper-blade-3-50-shipped-via-amazon-subscribe-save/,https://i.dansdeals.com/wp-content/uploads/2018/11/04090334/rain-x-rx30219-weatherbeater-wiper-blade-19-inches-pack-of-1-1.jpg
744,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]",9 Packs Of 80 Amazon Elements Baby Wipes For $11.47-$12.82 Shipped Via Amazon Subscribe And Save Select from Unscented Wipes or Sensitive Wipes. This was selling for $17.99 yesterday and is now the lowest price ever from Amazon. 9 flip-top packs of 80 Unscent…,2018-11-04T15:39:27Z,"{'id': None, 'name': 'Dansdeals.com'}",9 Packs Of 80 Amazon Elements Baby Wipes For $11.47-$12.82 Shipped Via Amazon Subscribe And Save,https://www.dansdeals.com/shopping-deals/amazon/9-packs-80-amazon-elements-baby-wipes-11-47-12-82-shipped-via-amazon-subscribe-save/,https://i.dansdeals.com/wp-content/uploads/2018/11/04100447/amazon-elements-baby-wipes-unscented-720-count-flip-top-packs-1.jpg
745,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Please note: This is a sponsored post. Cuisinart TOA-60 Convection Toaster Oven Air Fryer For $139.99 Shipped From Daily Steals Facebook Deals! This sells for $198.99 from Amazon where it has very good 4.3 star ratings. 1800-Watts with 7 Functions: Air Fry, C…",2018-11-01T21:30:28Z,"{'id': None, 'name': 'Dansdeals.com'}",Cuisinart TOA-60 Convection Toaster Oven Air Fryer For $139.99 Shipped From Daily Steals Facebook Deals!,https://www.dansdeals.com/advertisement/cuisinart-toa-60-convection-toaster-oven-air-fryer-139-99-shipped-daily-steals-facebook-deals/,https://i.dansdeals.com/wp-content/uploads/2018/11/01172741/cuisinart-toa-60-convection-toaster-oven-air-fryer-one-size-silver-1.jpg
746,JJ,"Advertiser Disclosure: Many of the links that appear on this site are from companies from which DansDeals.com receives compensation. Dan’s Deals LLC is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to p… [+1187 chars]","Today Only: NuWave Brio Air Fryer For $69.99 Shipped From Amazon This was selling for $99.99 yesterday and is now the lowest price ever from Amazon. Air Frying – The Healthier Way: Makes scrumptious fried foods that taste the way they should, without the oily…",2018-11-05T12:46:51Z,"{'id': None, 'name': 'Dansdeals.com'}",Today Only: NuWave Brio Air Fryer For $69.99 Shipped From Amazon,https://www.dansdeals.com/shopping-deals/amazon/today-nuwave-brio-air-fryer-69-99-shipped-amazon/,https://i.dansdeals.com/wp-content/uploads/2018/11/05074654/nuwave-36001-brio-air-fryer-black-1.jpg
747,Olivia Oran,"Welcome to Finance Insider, Business Insider's summary of the top stories of the past 24 hours. Sign up here to get the best of Business Insider delivered direct to your inbox. A Wall Street expert who recently fled the stock market says these 3 signals need … [+3624 chars]","Welcome to Finance Insider, Business Insider's summary of the top stories of the past 24 hours. Sign up here to get the best of Business Insider delivered direct to your inbox. A Wall Street expert who recently fled the stock market says these 3 signals need …",2018-10-22T17:42:11Z,"{'id': 'business-insider', 'name': 'Business Insider'}",What you need to know on Wall Street today,https://www.businessinsider.com/stock-market-news-today-october-22-2018,
748,newsfeedback@fool.com (Motley Fool Transcribers),"Image source: The Motley Fool. Bayerische Motoren Werke AG ( NASDAQOTH:BAMXF ) Q3 2018 Earnings Conference Call Nov. 07, 2018, 4:00 a.m. ET Contents: Prepared Remarks Questions and Answers Call Participants Prepared Remarks: Maximilian Schoberl -- Senior Vice… [+49737 chars]","BAMXF earnings call for the period ending September 30, 2018.",2018-11-09T15:56:56Z,"{'id': None, 'name': 'Fool.com'}",Bayerische Motoren Werke AG (BAMXF) Q3 2018 Earnings Conference Call Transcript,https://www.fool.com/earnings/call-transcripts/2018/11/09/bayerische-motoren-werke-ag-bamxf-q3-2018-earnings.aspx,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F501312%2Ffeatured-transcript-logo.png&h=630&w=1200&op=resize
749,,"I T IS EASY to forget how new Saudi Arabia is to the modern world. The man who founded the kingdom in 1932, Ibn Saud, is said in his early days to have carried his lands entire treasury in the saddle bag of a camel. When Americans struck oil in 1938, Ali al-N… [+6086 chars]","I T IS EASY to forget how new Saudi Arabia is to the modern world. The man who founded the kingdom in 1932, Ibn Saud, is said in his early days to have carried his land’s entire treasury in the saddle bag of a camel. When Americans struck oil in 1938, Ali al-…",2018-10-18T08:33:23Z,"{'id': 'the-economist', 'name': 'The Economist'}",Reasons for firms to steer clear of Saudi Arabia,https://www.economist.com/business/2018/10/18/reasons-for-firms-to-steer-clear-of-saudi-arabia,https://cdn.static-economist.com/sites/default/files/images/print-edition/20181020_WBD000_0.jpg
750,Steven Melendez,"HSBC has experienced a data breach affecting some of its U.S. banking customers. According to a letter to customers shared by the California Attorney General’s Office, customer accounts were accessed between October 4 and October 14, with attackers able to st… [+1502 chars]","HSBC has experienced a data breach affecting some of its U.S. banking customers. According to a letter to customers shared by the California Attorney General’s Office, customer accounts were accessed between October 4 and October 14, with attackers able to st…",2018-11-07T14:17:47Z,"{'id': None, 'name': 'Fastcompany.com'}",HSBC suffers data breach in apparent “credential stuffing” attack,https://www.fastcompany.com/90264030/what-is-credential-stuffing-hsbc-data-breach-possibly-enabled-by-re-used-passwords?partner=rss&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+fastcolabs+%28Co.Labs%29,"https://images.fastcompany.net/image/upload/w_1280,f_auto,q_auto,fl_lossy/wp-cms/uploads/2018/11/p-1-hsbc-alerts-some-us-customers-to-data-breach.jpg"
751,"Chad Bray, Chad Bray",The sovereign wealth fund China Investment Corporation and HSBC are reportedly in talks to raise up to £1 billion (US$1.27 billion) to invest in British companies. The bank said that CIC was in discussions to create the fund focused on companies with ties to … [+2402 chars],The sovereign wealth fund China Investment Corporation and HSBC are reportedly in talks to raise up to £1 billion (US$1.27 billion) to invest in British companies. The bank said that CIC was in discussions to create the fund focused on companies with ties to …,2018-11-16T04:46:40Z,"{'id': None, 'name': 'Scmp.com'}",HSBC and Chinese sovereign wealth fund prepare to make £1 billion bet on British companies,https://www.scmp.com/business/banking-finance/article/2173544/hsbc-and-chinese-sovereign-wealth-fund-prepare-make-ps1,https://cdn3.i-scmp.com/sites/default/files/styles/620x356/public/images/methode/2018/11/16/27604c0e-e959-11e8-bfde-9434090d4df7_image_hires_125209.JPG?itok=HfRI1Yyz
752,Reuters Editorial,"SHANGHAI (Reuters) - Having finally reached the summit, Brooks Koepka has no intention of giving up his number one ranking any time soon but his first outing as the man to beat could hardly be tougher with a stellar field gathered for this week’s WGC-HSBC Cha… [+2479 chars]","Having finally reached the summit, Brooks Koepka has no intention of giving up his number one ranking any time soon but his first outing as the man to beat could hardly be tougher with a stellar field gathered for this week's WGC-HSBC Champions.",2018-10-24T10:11:56Z,"{'id': 'reuters', 'name': 'Reuters'}",Golf: Stellar field gathers to challenge Koepka in Shanghai,https://www.reuters.com/article/us-golf-shanghai-preview/golf-stellar-field-gathers-to-challenge-koepka-in-shanghai-idUSKCN1MY19B,https://s4.reutersmedia.net/resources/r/?m=02&d=20181024&t=2&i=1318108058&w=1200&r=LYNXNPEE9N0RY
753,Reuters Editorial,SHANGHAI (Reuters) - Tony Finau will take a three-shot lead into the final round of the WGC-HSBC Champions after a birdie-birdie-birdie finish combined with a late collapse from Justin Rose kept the American in front at the Sheshan International on Saturday. … [+2035 chars],Tony Finau will take a three-shot lead into the final round of the WGC-HSBC Champions after a birdie-birdie-birdie finish combined with a late collapse from Justin Rose kept the American in front at the Sheshan International on Saturday.,2018-10-27T11:08:18Z,"{'id': 'reuters', 'name': 'Reuters'}",Golf: Fine finish keeps Finau in front as Rose wilts at HSBC Champions,https://www.reuters.com/article/us-golf-shanghai/golf-fine-finish-keeps-finau-in-front-as-rose-wilts-at-hsbc-champions-idUSKCN1N10FI,https://s2.reutersmedia.net/resources/r/?m=02&d=20181027&t=2&i=1319221302&w=1200&r=LYNXNPEE9Q0C4
754,CBC Sports,"Comments To encourage thoughtful and respectful conversations, first and last names will appear with each submission to CBC/Radio-Canada's online communities (except in children and youth-oriented communities). Pseudonyms will no longer be permitted. By submi… [+371 chars]","Watch live coverage of the HSBC Women's World Rugby Sevens season-opening tournament in Glendale, Colo.​ CBC Sports will live stream the entire event, including Canada's pool matches against France, Ireland and Fiji.",2018-10-17T19:30:20Z,"{'id': 'cbc-news', 'name': 'CBC News'}",Watch HSBC Women's World Rugby Sevens: Glendale,https://www.cbc.ca/sports/rugby/live-stream-rugby-world-cup-sevens-2018-1.4866651,https://i.cbc.ca/1.4866654.1539794308!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/rugby-sevens-1.jpg
755,SA Editor Yoel Minkoff,"Amid a torrid 2018 for Chinese shares, which have fallen about 30% this year, Beijing is planning to further open up its stock market to international investors. A trading link between London-Shanghai is expected to go live at the end of this year, with HSBC … [+482 chars]","Amid a torrid 2018 for Chinese shares, which have fallen about 30% this year, Beijing is planning to further open up its stock market to international investors.A trading link between London-Shanghai",2018-10-18T07:02:06Z,"{'id': None, 'name': 'Seekingalpha.com'}",London-Shanghai stock connect in the making,https://seekingalpha.com/news/3398306-london-shanghai-stock-connect-making,https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png
756,STATS,"JEJU ISLAND, South Korea (AP) -- Brooks Koepka has improved his chances of taking over as No. 1 golfer in the world, shooting a bogey-free 5-under 67 Saturday to take a four-stroke lead after three rounds of the CJ Cup at Nine Bridges. Koepka had a three-roun… [+2836 chars]",Koepka is inching closer toward earning the No. 1 in the world moniker,2018-10-20T13:55:33Z,"{'id': None, 'name': 'Cbssports.com'}",2018 CJ Cup: Brooks Koepka shoots bogey-free Round 3 to surge into lead in South Korea,https://www.cbssports.com/golf/news/2018-cj-cup-brooks-koepka-shoots-bogey-free-round-3-to-surge-into-lead-in-south-korea/,https://sportshub.cbsistatic.com/i/r/2018/10/20/5052078d-682e-4a66-97ed-5e650c4191ec/thumbnail/770x433/8381007fd2b957142f081cb4bfbf385d/koepka.jpg
757,STATS,"JEJU ISLAND, South Korea -- Brooks Koepka is golf's new No. 1 after winning the CJ Cup at Nine Bridges on Sunday by four strokes. Koepka, who displaced Dustin Johnson for the world's top ranking, shot a final-round 8-under 64 for a 21-under total of 267. Koep… [+3089 chars]",The three-time major winner is closing out 2018 in style,2018-10-21T14:45:56Z,"{'id': None, 'name': 'Cbssports.com'}",2018 CJ Cup: Brooks Koepka takes top ranking from Dustin Johnson with win in South Korea,https://www.cbssports.com/golf/news/2018-cj-cup-brooks-koepka-takes-top-ranking-from-dustin-johnson-with-win-in-south-korea/,https://sportshub.cbsistatic.com/i/r/2018/10/21/e9c6b1f9-45e1-4d2d-ab65-4c191be5664f/thumbnail/770x433/0fcf0a79c1f6bbc493addbda344f0096/brooks-koepka.jpg
